"Year","County","PercentChangeSince2017","Basin"
2047,Arapahoe,38.6239,Metro
2047,Boulder,34.7108,South Platte
2047,Broomfield,40.2878,Metro
2047,Cheyenne,-9.7485,"South Platte, Arkansas"
2047,Clear Creek,28.0658,South Platte
2047,Denver,34.6388,Metro
2047,Douglas,43.1567,Metro
2047,Elbert,139.1044,"Metro, Arkansas"
2047,Gilpin,10.4655,South Platte
2047,Jefferson,19.4522,Metro
2047,Kit Carson,21.7236,South Platte
2047,Larimer,52.4968,South Platte
2047,Lincoln,46.4199,"Arkansas, South Platte"
2047,Logan,29.7500,South Platte
2047,Morgan,44.5108,South Platte
2047,Park,35.9444,South Platte
2047,Phillips,1.6980,South Platte
2047,Sedgwick,-3.8557,South Platte
2047,Teller,32.5885,"Arkansas, South Platte"
2047,Washington,-1.2244,South Platte
2047,Weld,127.0886,South Platte
2047,Yuma,11.5967,South Platte
